Date,SPY,GS,MSFT,TLT,MRK
7/31/2013,143.783112,142.341141,26.851637,87.924919,34.485935
8/1/2013,145.445007,145.343628,26.708271,86.230728,34.779446
8/2/2013,145.692169,145.456421,26.893805,87.180092,34.750816
8/5/2013,145.479111,146.063873,26.733566,86.508972,34.743649
8/6/2013,144.652405,142.991913,26.632376,86.762688,34.679218
8/7/2013,144.183716,141.837784,27.037169,87.409286,34.757973
8/8/2013,144.712082,141.308456,27.737131,87.646637,34.700699
8/9/2013,144.294449,140.692352,27.576902,87.785744,34.643417
8/12/2013,144.124023,140.310516,27.720264,87.188316,34.700699
8/13/2013,144.55014,142.0634,27.372059,85.927925,34.672066
8/14/2013,143.808685,141.742325,27.473978,86.058899,34.772289
8/15/2013,141.797379,139.494766,26.998388,84.896675,34.342731
8/16/2013,141.328659,139.416687,27.006878,84.601997,34.149441
8/19/2013,140.425232,137.655167,26.658676,83.865456,34.063534
8/20/2013,141.115524,138.462097,26.85401,84.512009,34.049206
8/21/2013,140.246262,136.336105,26.845514,83.587181,33.977619
8/22/2013,141.524658,138.332001,27.507944,84.438377,34.228191
8/23/2013,142.001923,137.672455,29.512234,85.354988,34.170906
8/26/2013,141.473495,137.021652,29.002674,85.780586,34.092163
8/27/2013,139.198013,132.969147,28.246817,86.860909,33.727039
8/28/2013,139.692352,133.178055,28.042982,86.157051,33.712727
8/29/2013,139.91391,133.752686,28.493109,86.844543,33.719883
8/30/2013,139.470734,132.446793,28.365719,86.746384,33.855915
9/3/2013,140.101379,134.736542,27.074825,85.522873,33.798641
9/4/2013,141.260452,135.589661,26.497311,85.334106,34.135113
9/5/2013,141.439453,135.964096,26.522795,84.144241,34.013409
9/6/2013,141.507614,136.390625,26.454853,84.562698,33.999088
9/9/2013,142.862717,138.854507,26.887981,84.603783,34.178078
9/10/2013,143.919464,143.773499,27.507944,84.012955,34.349899
9/11/2013,144.371155,143.703781,27.805197,84.759682,34.464447
9/12/2013,143.987656,142.215118,27.762732,84.644814,34.58054
9/13/2013,144.311478,142.780975,28.051481,84.973038,34.537167
9/16/2013,145.146713,145.418915,27.856148,84.406792,34.826244
9/17/2013,145.794434,145.758469,27.96656,85.104355,34.696167
9/18/2013,147.481857,146.315674,28.297773,86.154724,34.978008
9/19/2013,147.234741,146.071915,28.569542,85.645958,34.876839
9/20/2013,146.205338,147.787033,27.847664,86.097282,34.696167
9/23/2013,145.528778,143.869217,27.805197,86.729164,34.457672
9/24/2013,145.186218,141.884186,27.558907,87.664627,34.349277
9/25/2013,144.766602,141.309616,27.609856,87.845123,34.450455
9/26/2013,145.323288,141.292221,27.830669,87.229683,34.457672
9/27/2013,144.655273,139.167923,28.255306,87.443024,34.537167
9/30/2013,143.884491,137.740097,28.2638,87.311729,34.407089
10/1/2013,145.023483,138.427872,28.518581,87.046783,35.223724
10/2/2013,144.886475,138.14061,28.807337,87.178436,34.956345
